0.03.039.870 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.03.039.927 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.06.397.914 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =   3.36 s / 2439.56 tokens per second
0.07.454.723 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.37, t =   4.41 s / 2319.48 tokens per second
0.08.580.910 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.44, t =   5.54 s / 2217.66 tokens per second
0.09.795.187 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.52, t =   6.76 s / 2122.20 tokens per second
0.11.091.752 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.59, t =   8.05 s / 2034.82 tokens per second
0.12.455.063 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.67, t =   9.42 s / 1957.70 tokens per second
0.13.900.075 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.74, t =  10.86 s / 1885.80 tokens per second
0.15.416.414 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.81, t =  12.38 s / 1820.23 tokens per second
0.17.026.689 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.89, t =  13.99 s / 1757.09 tokens per second
0.18.706.610 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.96, t =  15.67 s / 1699.40 tokens per second
0.19.126.672 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27128, progress = 0.98, t =  16.09 s / 1686.36 tokens per second
0.19.553.912 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27623, progress = 1.00, t =  16.51 s / 1672.70 tokens per second
0.19.661.104 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27640, progress = 1.00, t =  16.62 s / 1662.94 tokens per second
0.22.619.691 I slot print_timing: id  0 | task 0 | prompt eval time =   16649.08 ms / 27644 tokens (    0.60 ms per token,  1660.39 tokens per second)
0.22.619.695 I slot print_timing: id  0 | task 0 |        eval time =    2930.68 ms /   256 tokens (   11.45 ms per token,    87.35 tokens per second)
0.22.619.695 I slot print_timing: id  0 | task 0 |       total time =   19579.75 ms / 27900 tokens
0.22.619.696 I slot print_timing: id  0 | task 0 |    graphs reused =        115
0.22.619.697 I slot print_timing: id  0 | task 0 | draft acceptance = 0.58798 (  137 accepted /   233 generated), mean len =  2.17
0.22.620.352 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27899, truncated = 0
