0.03.039.198 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.03.039.249 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.06.387.489 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =   3.35 s / 2446.66 tokens per second
0.07.440.216 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.37, t =   4.40 s / 2326.77 tokens per second
0.08.567.884 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.44, t =   5.53 s / 2222.61 tokens per second
0.09.775.381 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.52, t =   6.74 s / 2128.23 tokens per second
0.11.059.680 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.59, t =   8.02 s / 2042.78 tokens per second
0.12.428.023 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.67, t =   9.39 s / 1963.20 tokens per second
0.13.866.793 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.74, t =  10.83 s / 1891.47 tokens per second
0.15.377.599 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.81, t =  12.34 s / 1825.85 tokens per second
0.16.989.636 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.89, t =  13.95 s / 1761.67 tokens per second
0.18.662.136 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.96, t =  15.62 s / 1704.17 tokens per second
0.19.084.957 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27128, progress = 0.98, t =  16.05 s / 1690.67 tokens per second
0.19.513.800 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27623, progress = 1.00, t =  16.47 s / 1676.71 tokens per second
0.19.622.132 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27640, progress = 1.00, t =  16.58 s / 1666.78 tokens per second
0.22.586.261 I slot print_timing: id  0 | task 0 | prompt eval time =   16610.85 ms / 27644 tokens (    0.60 ms per token,  1664.21 tokens per second)
0.22.586.264 I slot print_timing: id  0 | task 0 |        eval time =    2936.16 ms /   256 tokens (   11.47 ms per token,    87.19 tokens per second)
0.22.586.265 I slot print_timing: id  0 | task 0 |       total time =   19547.00 ms / 27900 tokens
0.22.586.265 I slot print_timing: id  0 | task 0 |    graphs reused =        115
0.22.586.267 I slot print_timing: id  0 | task 0 | draft acceptance = 0.58798 (  137 accepted /   233 generated), mean len =  2.17
0.22.586.929 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27899, truncated = 0
