commit,label,caseName,samples,successfulSamples,medianEvalTokensPerSecond,medianAcceptance,medianTtftMs,medianTotalMs
6ee0f65793da4bca2301826f70383aef2da60345,mtp-vision-baseline+6ee0f657+scan-0,text,3,3,87.26,0.61842,16779.212708000094,19597.7407089998
6ee0f65793da4bca2301826f70383aef2da60345,mtp-vision-baseline+6ee0f657+scan-0,vision,3,3,100.74,0.78283,22810.82287500007,25352.360832999926
6ee0f65793da4bca2301826f70383aef2da60345,mtp-vision-baseline+6ee0f657+scan-0,post-vision,3,3,94.54,0.70283,23050.311416000128,25758.665000000037
e9fb3b3fc0300501179b0ce61e907be767e8c859,community-fastest+e9fb3b3f,text,3,3,90,0.61842,16215.903792000026,18994.68729100001
e9fb3b3fc0300501179b0ce61e907be767e8c859,community-fastest+e9fb3b3f,vision,3,3,100.63,0.78283,22842.35437500001,25378.24904200004
e9fb3b3fc0300501179b0ce61e907be767e8c859,community-fastest+e9fb3b3f,post-vision,3,3,96.01,0.72596,23188.70775000006,25846.99958299985
9a532ae4bab1b164052ce60a738f78538b421c66,pre-regression+b9222,text,3,3,74.7,,17813.5560000001,20998.77958299988
9a532ae4bab1b164052ce60a738f78538b421c66,pre-regression+b9222,vision,3,3,78.2,,27179.48308299994,30424.83787499997
9a532ae4bab1b164052ce60a738f78538b421c66,pre-regression+b9222,post-vision,3,3,77.5,,27300.53150000004,30603.94658300001
d14ce3dab4de197adec5166faa54ac5db8262f26,reported-regression+b9235,text,3,3,75.11,0.63839,17964.246665999992,21122.486333000008
d14ce3dab4de197adec5166faa54ac5db8262f26,reported-regression+b9235,vision,3,3,78.58,0.72115,27320.85070800013,30579.159250000026
d14ce3dab4de197adec5166faa54ac5db8262f26,reported-regression+b9235,post-vision,3,3,77.85,0.70952,27462.84183300007,30750.198083000025
57fe1f07c3b6a1de3f4fff19098e2056a85275b7,co-de-tested+b9620,text,3,3,89.82,0.61842,16914.154374999925,19672.611041999888
